		--- STARS OF CATALOGUE ---
Phi Per,8068,11539,0.000000,0.452304,0.884685
Tau Cet,8102,5510,0.000000,0.454085,-0.278162
Omi Psc,8198,4886,0.000000,0.459867,0.159833
Eps Scl,8209,6906,0.000000,0.460967,-0.437251
? Cet,8230,3768,0.000000,0.462458,-0.100065
? Phe,8240,3628,0.000000,0.462945,-0.886911
? Eri,8241,9754,0.000000,0.462964,-0.934136
? Cas,8362,5268,0.000000,0.470105,1.114436
? Ari,8387,10639,0.000000,0.472034,0.295930
? Psc,8404,4815,0.000000,0.473131,0.064323
? And,8423,4803,0.000000,0.474068,0.662403
? Tri,8433,6079,0.000000,0.474263,0.570552
Chi Cet,8497,7258,0.000000,0.478155,-0.186513
? Ari,8544,5458,0.000000,0.480589,0.388778
? Ari,8588,7449,0.000000,0.483745,0.192743
? Phe,8593,8537,0.000000,0.483925,-0.876262
? Per,8598,6780,0.000000,0.484119,0.906409
Zet Cet,8645,4438,0.000000,0.486338,-0.180380
? Per,8704,13010,0.000000,0.488642,0.962503
? Per,8714,11046,0.000000,0.489373,0.886501
? Cet,8778,7725,0.000000,0.492482,-0.295471
Alp Tri,8796,6443,0.000000,0.493412,0.516248
? And,8814,4101,0.000000,0.494317,0.710869
Gam-2 Ari,8832,10752,0.000000,0.495369,0.336741
Xi Psc,8833,4922,0.000000,0.495481,0.055633
Psi Phe,8837,3653,0.000000,0.495875,-0.808134
Phi Phe,8882,10941,0.000000,0.499022,-0.741712
Eps Cas,8886,12488,0.000000,0.499142,1.111253
Sheratan,8903,8444,0.000000,0.500212,0.363169
Eta-2 Hyi,8928,4914,0.000000,0.501496,-1.180668
? Ari,8993,4338,0.000000,0.505494,0.411502
? And,9001,3650,0.000000,0.505744,0.650620
Chi Eri,9007,5151,0.000000,0.505944,-0.900745
Ome Cas,9009,11310,0.000000,0.506146,1.198784
? And,9021,4603,0.000000,0.506824,0.650167
? Cet,9061,3895,0.000000,0.509069,-0.393167
? Phe,9095,5094,0.000000,0.511240,-0.827029
Iot Ari,9110,4940,0.000000,0.512040,0.310975
? Tri,9132,3682,0.000000,0.513690,0.485278
Lam Ari,9153,7526,0.000000,0.514561,0.411829
? Per,9222,4730,0.000000,0.517309,0.858778
Alp Hyi,9236,7526,0.000000,0.518219,-1.074597
? Ari,9307,4669,0.000000,0.521830,0.367541
? Cas,9312,10100,0.000000,0.522000,1.127860
? Phe,9313,4621,0.000000,0.522059,-0.733571
? Cet,9326,3594,0.000000,0.522595,-0.363457
Ups Cet,9347,3714,0.000000,0.523621,-0.367878
? Psc,9353,5928,0.000000,0.524265,0.054053
? Cet,9372,3965,0.000000,0.525549,-0.148770
Pi For,9440,5042,0.000000,0.529034,-0.523631
Chi Phe,9459,3837,0.000000,0.531044,-0.780398
? Cas,9480,8452,0.000000,0.532145,1.237561
Alp Psc,9487,9835,0.000000,0.532530,0.048237
? Per,9505,11107,0.000000,0.533641,0.950987
? Ari,9533,3671,0.000000,0.534876,0.235213
? Cas,9564,9777,0.000000,0.536142,1.132744
Eps Tri,9570,9777,0.000000,0.536540,0.580918
? Cet,9572,4825,0.000000,0.536585,-0.267139
? Cas,9573,7306,0.000000,0.536702,1.123818
? Cet,9589,8605,0.000000,0.537536,0.002243
? Cas,9598,10150,0.000000,0.538591,1.263990
? Ari,9621,6225,0.000000,0.539549,0.452659
? Cet,9622,3664,0.000000,0.539633,-0.071620
? Cet,9631,5131,0.000000,0.540192,-0.005938
Almaak,9640,4000,0.000000,0.540612,0.738793
Nu For,9677,12609,0.000000,0.543193,-0.511326
? Cas,9727,7187,0.000000,0.545934,1.348814
? Cas,9763,4855,0.000000,0.547711,1.328458
Kap Ari,9836,8829,0.000000,0.552246,0.395288
Hamal,9884,4407,0.000000,0.554898,0.409497
? And,9977,8838,0.000000,0.560631,0.660766
? Per,9990,5987,0.000000,0.561456,1.019684
? Phe,10035,4314,0.000000,0.563545,-0.759508
? Ari,10053,7222,0.000000,0.564711,0.452737
Bet Tri,10064,8658,0.000000,0.565240,0.610644
? Ari,10155,3593,0.000000,0.569966,0.340345
? Cet,10212,6091,0.000000,0.573128,0.149571
? Cet,10215,6785,0.000000,0.573212,-0.175443
? Cet,10234,4823,0.000000,0.574201,-0.031860
? Tri,10280,5372,0.000000,0.577579,0.528888
? Ari,10296,4006,0.000000,0.578688,0.421807
? Cet,10305,6187,0.000000,0.579416,-0.041777
Eta Ari,10306,6590,0.000000,0.579455,0.370202
